name, pa_vd, dac_a, eb_a_in, tp_a_in, ssc2_a_in, ssc1_a_in, eb_a_mid, tp_a_mid, ssc2_a_mid, ssc1_a_mid, eb_a_out, tp_a_out, ssc2_a_out, ssc1_a_out,dac_b, eb_b_in, tp_b_in, ssc2_b_in, ssc1_b_in, eb_b_mid, tp_b_mid, ssc2_b_mid, ssc1_b_mid, eb_b_out, tp_b_out, ssc2_b_out, ssc1_b_out
ChA&B_0.3GHz,5V,3.02 V,1,1,0,31,0,0,0,25,0,0,0,31,2.41 V,1,1,0,31,0,0,0,31,0,0,0,31
ChA&B_0.5GHz,5V,2.68 V,1,1,0,31,0,0,0,25,0,0,0,31,3.29 V,1,1,0,31,0,0,0,31,0,0,0,31
ChA&B_0.8GHz,5V,3.12 V,0,0,3,10,0,0,0,8,0,0,0,31,3.29 V,0,0,0,10,0,0,0,31,0,0,0,31
ChA&B_1.0GHz,5V,2.68 V,0,0,0,26,0,0,3,0,0,0,0,24,3.29 V,0,0,0,31,0,0,0,14,0,1,0,31
ChA&B_1.5GHz,5V,2.54 V,0,0,14,31,1,0,0,0,1,0,0,31,2.93 V,0,0,0,31,0,0,6,14,1,1,0,31
ChA&B_1.8GHz,5V,2.87 V,0,0,3,15,1,0,0,0,1,1,0,18,3.08 V,0,0,0,31,1,0,0,0,1,1,0,31
ChA&B_2.1GHz,5V,2.75 V,0,0,0,31,1,0,0,0,1,1,0,16,2.44 V,0,0,0,31,1,0,0,0,1,1,0,31
ChA&B_2.5GHz,5V,2.99 V,0,0,0,31,0,0,15,31,0,0,0,31,3.03 V,0,0,1,31,1,0,8,31,0,0,0,31
ChA&B_2.7GHz,5V,3.26 V,0,0,0,31,1,0,15,31,0,0,0,31,3.03 V,0,0,1,31,1,0,8,31,0,0,0,31
ChA&B_3.0GHz,5V,2.60 V,0,0,0,31,1,0,15,31,0,0,0,31,2.77 V,0,0,1,31,1,0,8,31,0,0,0,31
ChA&B_3.3GHz,5V,3.29 V,0,0,0,31,1,0,15,31,0,0,0,31,3.20 V,0,0,1,31,1,0,8,31,0,0,0,31
ChA&B_3.5GHz,5V,2.73 V,0,0,0,31,1,0,15,31,0,0,0,31,3.20 V,0,0,1,31,1,0,8,31,0,0,0,31
ChA&B_3.8GHz,5V,2.73 V,0,0,0,31,1,0,15,31,0,0,0,31,3.20 V,0,0,1,31,1,0,8,31,0,0,0,31
